# Time (s),Altitude (km),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (km),Position North of launch (km),Lateral distance (km),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
7.5302,1.8762,320.72,-28.015,320.88,28.02,0.051051,0.0018367,0.051084,2.0605,10.394,0.53505,43.796,-120.65,9.7951,0.051768,0.053055,3.8863e-4,3.2036e-4,26.285,0,48.329,0.092906,2.7467,2.2873,3.2881,0.98009,5.878e7,0,479.01,0.68551,0.68552,0.33382,0.10682,0.24487,0.010958,0.03619,-1.1623e-4,0,-6.4194e-5,0.017947,0.018011,6.7525e-7,0.03376,0.1397,0.015328,87.528,1.296,NaN,-6.2305,677.95,327.52,0.01,0.7677
7.5402,1.8794,320.44,-27.976,320.6,27.98,0.051154,0.0018403,0.051187,2.0603,10.389,0.50076,43.796,-120.65,9.7951,0.057243,0.052948,4.9816e-4,3.3565e-4,26.285,0,48.329,0.092906,2.7464,2.2873,3.286,0.97927,58712611,0,477.93,0.6854,0.68541,0.33397,0.10677,0.24467,0.012118,0.039966,4.776e-4,0,-6.4176e-5,0.017937,0.018001,1.1115e-6,0.03373,0.1397,0.015328,87.529,1.3286,NaN,-6.2513,677.67,327.51,0.01,0.76845
7.5502,1.8826,320.16,-27.936,320.32,27.94,0.051258,0.0018438,0.051291,2.0601,10.384,0.47136,43.796,-120.65,9.795,0.061919,0.052841,6.2172e-4,3.5149e-4,26.285,0,48.329,0.092906,2.7461,2.2873,3.2842,0.97844,58645157,0,476.86,0.68529,0.6853,0.33412,0.10671,0.24446,0.013108,0.04257,-1.1216e-4,0,-6.4128e-5,0.017927,0.017992,1.7343e-6,0.033701,0.1397,0.015328,87.531,1.3624,NaN,-6.2721,677.4,327.5,0.01,0.76947
7.5602,1.8858,319.88,-27.893,320.05,27.898,0.051362,0.0018473,0.051395,2.0599,10.379,0.52518,43.796,-120.65,9.795,0.051772,0.052734,7.4424e-4,3.5842e-4,26.285,0,48.329,0.092906,2.7464,2.2873,3.2863,0.97763,58578437,0,475.8,0.68518,0.68519,0.33427,0.10666,0.24425,0.010953,0.035938,-3.7068e-4,0,-6.374e-5,0.017918,0.017982,2.4895e-6,0.033672,0.1397,0.015328,87.533,1.3973,NaN,-6.2929,677.12,327.49,0.01,0.77111
7.5702,1.889,319.6,-27.85,319.77,27.856,0.051466,0.0018509,0.051499,2.0597,10.374,0.58067,43.796,-120.65,9.795,0.04131,0.052629,8.4166e-4,3.7154e-4,26.285,0,48.329,0.092906,2.7467,2.2873,3.2885,0.97683,58511828,0,474.74,0.68507,0.68508,0.33442,0.10661,0.24404,0.0087342,0.02886,-1.9486e-4,0,-6.3492e-5,0.017908,0.017972,3.1894e-6,0.033642,0.1397,0.015328,87.536,1.433,NaN,-6.3137,676.84,327.47,0.01,0.77284
7.5802,1.8922,319.32,-27.808,319.49,27.815,0.051569,0.0018544,0.051603,2.0595,10.368,0.6373,43.796,-120.65,9.795,0.030631,0.052524,9.1023e-4,3.9778e-4,26.285,0,48.329,0.092906,2.7471,2.2873,3.2908,0.97602,58445330,0,473.69,0.68497,0.68497,0.33457,0.10655,0.24384,0.0064722,0.021614,-4.7946e-4,0,-6.3322e-5,0.017898,0.017962,3.7367e-6,0.033613,0.1397,0.015328,87.539,1.469,NaN,-6.3345,676.56,327.46,0.01,0.77456
7.5902,1.8954,319.04,-27.765,319.21,27.774,0.051673,0.001858,0.051706,2.0593,10.361,0.69455,43.796,-120.65,9.795,0.019861,0.052419,9.4017e-4,4.5698e-4,26.285,0,48.329,0.092906,2.7474,2.2873,3.2931,0.97521,58378943,0,472.64,0.68486,0.68486,0.33472,0.1065,0.24363,0.0041937,0.013495,-1.1984e-4,0,-6.3196e-5,0.017889,0.017952,3.9934e-6,0.033584,0.1397,0.015328,87.543,1.5052,NaN,-6.3552,676.29,327.45,0.01,0.77625
7.6002,1.8986,318.76,-27.723,318.93,27.733,0.051776,0.0018615,0.05181,2.0591,10.354,0.75058,43.796,-120.65,9.795,0.0095392,0.052315,8.5771e-4,6.4474e-4,26.285,0,48.329,0.092906,2.7477,2.2873,3.2953,0.97441,58312655,0,471.59,0.68475,0.68475,0.33487,0.10645,0.24343,0.002013,0.0066554,-3.0256e-4,0,-6.3102e-5,0.017879,0.017942,3.3294e-6,0.033555,0.1397,0.015328,87.546,1.5412,NaN,-6.376,676.01,327.44,0.01,0.77799
7.6102,1.9018,318.49,-27.683,318.66,27.693,0.05188,0.001865,0.051913,2.0589,10.346,0.75395,43.796,-120.65,9.795,0.008964,0.052211,7.5108e-4,7.8764e-4,26.285,0,48.329,0.092906,2.7476,2.2873,3.2949,0.97359,58246062,0,470.54,0.68464,0.68464,0.33502,0.1064,0.24323,0.0018912,0.0057544,2.975e-4,0,-6.3243e-5,0.017869,0.017932,2.5575e-6,0.033525,0.1397,0.015328,87.55,1.5766,NaN,-6.3967,675.73,327.42,0.01,0.77963
7.6202,1.905,318.21,-27.643,318.38,27.653,0.051983,0.0018686,0.052017,2.0587,10.339,0.75764,43.796,-120.65,9.795,0.0086373,0.052107,6.0492e-4,9.192e-4,26.285,0,48.329,0.092906,2.7476,2.2873,3.2944,0.97278,5.818e7,0,469.49,0.68454,0.68454,0.33517,0.10634,0.24302,0.001822,0.0064055,3.6517e-5,0,-6.3294e-5,0.017859,0.017922,1.6619e-6,0.033496,0.1397,0.015328,87.553,1.6111,NaN,-6.4174,675.45,327.41,0.01,0.78125
7.6302,1.9082,317.93,-27.603,318.1,27.613,0.052087,0.0018721,0.05212,2.0585,10.331,0.76161,43.796,-120.65,9.795,0.0085826,0.052003,4.2997e-4,0.0010231,26.285,0,48.329,0.092906,2.7475,2.2873,3.2939,0.97198,58113206,0,468.44,0.68443,0.68443,0.33532,0.10629,0.24282,0.0018102,0.0059406,4.2343e-4,0,-6.3294e-5,0.017849,0.017913,8.4109e-7,0.033467,0.1397,0.015328,87.557,1.6446,NaN,-6.438,675.18,327.4,0.01,0.78294
7.6402,1.9113,317.66,-27.563,317.83,27.573,0.05219,0.0018756,0.052223,2.0583,10.324,0.76576,43.796,-120.65,9.795,0.0087953,0.0519,2.4448e-4,0.0010882,26.285,0,48.329,0.092906,2.7474,2.2873,3.2933,0.97117,58046941,0,467.4,0.68432,0.68432,0.33547,0.10624,0.24261,0.0018547,0.0062977,-3.162e-5,0,-6.3265e-5,0.017839,0.017903,2.724e-7,0.033438,0.1397,0.015328,87.561,1.6767,NaN,-6.4587,674.9,327.38,0.01,0.78402
7.6502,1.9145,317.38,-27.523,317.55,27.534,0.052293,0.0018792,0.052327,2.0581,10.316,0.77034,43.796,-120.65,9.7949,0.00922,0.051796,6.3747e-5,0.0011162,26.285,0,48.329,0.092906,2.7473,2.2873,3.2926,0.97036,57980787,0,466.36,0.68422,0.68422,0.33562,0.10619,0.24241,0.001944,0.0062041,1.3826e-4,0,-6.3217e-5,0.017829,0.017893,1.8552e-8,0.033409,0.1397,0.015328,87.565,1.7073,NaN,-6.4793,674.63,327.37,0.01,0.78491
7.6602,1.9177,317.11,-27.483,317.28,27.494,0.052396,0.0018827,0.05243,2.0579,10.308,0.78584,43.796,-120.65,9.7949,0.0096754,0.051694,-3.1906e-4,0.0010692,26.285,0,48.329,0.092906,2.7472,2.2873,3.2919,0.96956,57914827,0,465.33,0.68411,0.68411,0.33577,0.10613,0.24221,0.0020398,0.0064655,4.8824e-5,0,-6.3113e-5,0.017819,0.017883,-4.6556e-7,0.03338,0.1397,0.015328,87.568,1.7361,NaN,-6.5,674.35,327.36,0.01,0.78577
7.6702,1.9209,316.83,-27.443,317,27.455,0.052499,0.0018863,0.052533,2.0577,10.3,0.80112,43.796,-120.65,9.7949,0.011147,0.051591,-5.954e-4,9.3244e-4,26.285,0,48.329,0.092906,2.7471,2.2873,3.291,0.96875,57848975,0,464.3,0.68401,0.68401,0.33592,0.10608,0.242,0.0023499,0.0080701,-2.2964e-4,0,-6.3024e-5,0.017809,0.017873,-1.624e-6,0.033351,0.1397,0.015328,87.572,1.7629,NaN,-6.5206,674.08,327.35,0.01,0.78662
7.6802,1.924,316.56,-27.403,316.73,27.416,0.052602,0.0018898,0.052636,2.0576,10.292,0.81605,43.796,-120.65,9.7949,0.013241,0.051489,-7.5256e-4,7.8925e-4,26.285,0,48.329,0.092906,2.7469,2.2873,3.2899,0.96795,57783230,0,463.27,0.6839,0.6839,0.33607,0.10603,0.2418,0.0027911,0.0094662,3.7726e-4,0,-6.2943e-5,0.017799,0.017862,-2.599e-6,0.033322,0.1397,0.015328,87.576,1.7876,NaN,-6.5411,673.8,327.33,0.01,0.78745
7.6902,1.9272,316.29,-27.364,316.45,27.376,0.052705,0.0018934,0.052739,2.0574,10.284,0.83047,43.796,-120.65,9.7949,0.015641,0.051387,-8.2986e-4,6.7041e-4,26.285,0,48.329,0.092906,2.7468,2.2873,3.2887,0.96715,57717592,0,462.24,0.6838,0.6838,0.33622,0.10598,0.2416,0.0032967,0.010685,1.224e-4,0,-6.2867e-5,0.017789,0.017852,-3.1658e-6,0.033293,0.1397,0.015328,87.58,1.8098,NaN,-6.5617,673.53,327.32,0.01,0.78825
7.7002,1.9303,316.01,-27.324,316.18,27.337,0.052807,0.0018969,0.052841,2.0573,10.276,0.84453,43.796,-120.65,9.7949,0.018188,0.051285,-8.6218e-4,5.774e-4,26.285,0,48.329,0.092906,2.7466,2.2873,3.2874,0.96635,57652063,0,461.22,0.68369,0.68369,0.33637,0.10593,0.2414,0.0038334,0.013037,3.6098e-4,0,-6.2792e-5,0.017779,0.017842,-3.4231e-6,0.033264,0.1397,0.015328,87.584,1.8297,NaN,-6.5823,673.25,327.31,0.01,0.78903
7.7102,1.9335,315.74,-27.284,315.91,27.298,0.05291,0.0019005,0.052944,2.0571,10.267,0.86816,43.796,-120.65,9.7949,0.02225,0.051184,-8.8818e-4,4.5802e-4,26.285,0,48.329,0.092906,2.7464,2.2873,3.2858,0.96555,57586723,0,460.2,0.68359,0.68359,0.33652,0.10587,0.2412,0.0046899,0.014962,1.0521e-4,0,-6.2673e-5,0.017769,0.017832,-3.639e-6,0.033236,0.1397,0.015328,87.587,1.8469,NaN,-6.6028,672.98,327.3,0.01,0.78982
7.7202,1.9367,315.47,-27.245,315.63,27.259,0.053013,0.0019041,0.053047,2.057,10.258,0.89075,43.796,-120.65,9.7949,0.026393,0.051083,-8.7501e-4,3.7715e-4,26.285,0,48.329,0.092906,2.7461,2.2873,3.2842,0.96476,57521489,0,459.19,0.68348,0.68349,0.33666,0.10582,0.241,0.0055634,0.018151,3.3751e-4,0,-6.2575e-5,0.017759,0.017822,-3.538e-6,0.033207,0.1397,0.015328,87.591,1.8614,NaN,-6.6233,672.7,327.29,0.01,0.79063
7.7302,1.9398,315.19,-27.205,315.36,27.221,0.053115,0.0019076,0.053149,2.0569,10.249,0.91212,43.796,-120.65,9.7949,0.030468,0.050983,-8.3832e-4,3.2068e-4,26.285,0,48.329,0.092906,2.7459,2.2873,3.2826,0.96396,57456360,0,458.18,0.68338,0.68338,0.33681,0.10577,0.2408,0.0064224,0.02097,4.6378e-4,0,-6.2489e-5,0.017749,0.017812,-3.2531e-6,0.033178,0.1397,0.015328,87.594,1.8732,NaN,-6.6438,672.43,327.27,0.01,0.79141
7.7402,1.943,314.92,-27.166,315.09,27.182,0.053217,0.0019112,0.053252,2.0568,10.24,0.93214,43.796,-120.65,9.7949,0.034384,0.050883,-7.8525e-4,2.8097e-4,26.285,0,48.329,0.092906,2.7457,2.2873,3.281,0.96317,57391337,0,457.17,0.68328,0.68328,0.33696,0.10572,0.2406,0.0072482,0.02411,-4.6757e-4,0,-6.2409e-5,0.017739,0.017802,-2.8592e-6,0.033149,0.1397,0.015328,87.597,1.882,NaN,-6.6643,672.15,327.26,0.01,0.79218
7.7502,1.9461,314.65,-27.127,314.82,27.144,0.05332,0.0019148,0.053354,2.0567,10.231,0.94972,43.796,-120.65,9.7948,0.037918,0.050783,-7.1775e-4,2.5253e-4,26.285,0,48.329,0.092906,2.7455,2.2873,3.2795,0.96237,57326412,0,456.16,0.68318,0.68318,0.33711,0.10567,0.2404,0.0079934,0.026607,9.9815e-5,0,-6.2337e-5,0.017729,0.017791,-2.3929e-6,0.033121,0.1397,0.015328,87.6,1.888,NaN,-6.6847,671.88,327.25,0.01,0.79295
7.7602,1.9493,314.38,-27.09,314.55,27.106,0.053422,0.0019184,0.053456,2.0566,10.222,0.93001,43.796,-120.65,9.7948,0.034957,0.050684,-6.3152e-4,2.7479e-4,26.285,0,48.329,0.092906,2.7455,2.2873,3.2798,0.96158,57261306,0,455.15,0.68307,0.68308,0.33725,0.10562,0.2402,0.007367,0.024646,-1.2931e-4,0,-6.2424e-5,0.017719,0.017781,-1.8557e-6,0.033092,0.1397,0.015328,87.602,1.891,NaN,-6.7052,671.61,327.24,0.01,0.79373
7.7702,1.9524,314.11,-27.052,314.27,27.067,0.053524,0.001922,0.053559,2.0565,10.212,0.90924,43.796,-120.65,9.7948,0.031784,0.050584,-5.4925e-4,2.976e-4,26.285,0,48.329,0.092906,2.7456,2.2873,3.2801,0.96078,57196307,0,454.15,0.68297,0.68297,0.3374,0.10557,0.24,0.0066964,0.021798,4.928e-4,0,-6.2443e-5,0.017709,0.017771,-1.4061e-6,0.033063,0.1397,0.015328,87.605,1.8911,NaN,-6.7256,671.33,327.22,0.01,0.79449
7.7802,1.9555,313.84,-27.015,314,27.029,0.053626,0.0019256,0.053661,2.0565,10.203,0.88757,43.796,-120.65,9.7948,0.028438,0.050485,-4.7108e-4,3.2047e-4,26.285,0,48.329,0.092906,2.7456,2.2873,3.2805,0.95999,57131412,0,453.15,0.68287,0.68287,0.33755,0.10552,0.2398,0.0059896,0.020081,1.3369e-4,0,-6.2421e-5,0.017698,0.017761,-1.0362e-6,0.033035,0.1397,0.015328,87.607,1.8884,NaN,-6.746,671.06,327.21,0.01,0.79525
7.7902,1.9587,313.57,-26.978,313.73,26.992,0.053728,0.0019292,0.053763,2.0564,10.195,0.86515,43.796,-120.65,9.7948,0.024964,0.050386,-3.9626e-4,3.4444e-4,26.285,0,48.329,0.092906,2.7457,2.2873,3.281,0.95919,57066623,0,452.15,0.68277,0.68277,0.3377,0.10547,0.23961,0.0052563,0.017249,-2.8039e-4,0,-6.2376e-5,0.017688,0.017751,-7.344e-7,0.033006,0.1397,0.015328,87.609,1.8831,NaN,-6.7664,670.79,327.2,0.01,0.79601
7.8002,1.9618,313.3,-26.941,313.46,26.954,0.05383,0.0019328,0.053865,2.0563,10.186,0.84403,43.796,-120.65,9.7948,0.021715,0.050287,-3.2363e-4,3.6784e-4,26.285,0,48.329,0.092906,2.7457,2.2873,3.2813,0.9584,57001953,0,451.15,0.68267,0.68267,0.33784,0.10541,0.23941,0.0045708,0.01498,-3.5114e-5,0,-6.2309e-5,0.017678,0.01774,-4.907e-7,0.032978,0.1397,0.015328,87.611,1.8752,NaN,-6.7868,670.52,327.19,0.01,0.79678
7.8102,1.9649,313.03,-26.901,313.2,26.916,0.053932,0.0019364,0.053966,2.0563,10.178,0.89562,43.796,-120.65,9.7948,0.030478,0.050189,-3.3605e-4,2.9922e-4,26.285,0,48.329,0.092906,2.7453,2.2873,3.2785,0.95762,56937971,0,450.17,0.68257,0.68257,0.33799,0.10536,0.23921,0.006417,0.020763,-4.2894e-4,0,-6.1913e-5,0.017668,0.01773,-5.3001e-7,0.03295,0.1397,0.015328,87.612,1.8648,NaN,-6.8071,670.24,327.17,0.01,0.79755
7.8202,1.9681,312.76,-26.862,312.93,26.878,0.054033,0.00194,0.054068,2.0563,10.168,0.94553,43.796,-120.65,9.7948,0.039647,0.050092,-2.9299e-4,2.6388e-4,26.285,0,48.329,0.092906,2.7449,2.2873,3.2755,0.95684,56874092,0,449.19,0.68247,0.68247,0.33813,0.10531,0.23902,0.0083499,0.02779,2.2318e-4,0,-6.1654e-5,0.017658,0.017719,-4.0357e-7,0.032921,0.1397,0.015328,87.614,1.852,NaN,-6.8275,669.97,327.16,0.01,0.79832
7.8302,1.9712,312.49,-26.822,312.66,26.841,0.054135,0.0019436,0.05417,2.0562,10.159,0.99344,43.796,-120.65,9.7948,0.048749,0.049995,-2.1763e-4,2.4579e-4,26.285,0,48.329,0.092906,2.7445,2.2873,3.2726,0.95606,5.681e7,0,448.21,0.68237,0.68237,0.33828,0.10526,0.23883,0.01027,0.033134,2.6559e-4,0,-6.1473e-5,0.017648,0.017709,-2.2304e-7,0.032893,0.1397,0.015328,87.615,1.8369,NaN,-6.8478,669.7,327.15,0.01,0.79909
7.8402,1.9743,312.22,-26.783,312.39,26.804,0.054236,0.0019472,0.054271,2.0562,10.149,1.039,43.796,-120.65,9.7948,0.057573,0.049898,-1.176e-4,2.3792e-4,26.285,0,48.329,0.092906,2.7441,2.2873,3.2698,0.95528,56746644,0,447.24,0.68227,0.68228,0.33842,0.10522,0.23863,0.012132,0.039998,1.8213e-4,0,-6.1336e-5,0.017637,0.017699,-6.5237e-8,0.032865,0.1397,0.015328,87.616,1.8197,NaN,-6.8681,669.43,327.14,0.01,0.79985
7.8502,1.9774,311.96,-26.745,312.12,26.767,0.054338,0.0019509,0.054373,2.0562,10.138,1.0796,43.796,-120.65,9.7948,0.065545,0.049802,2.6348e-6,2.3583e-4,26.285,0,48.329,0.092906,2.7437,2.2873,3.2671,0.95451,56683056,0,446.27,0.68217,0.68218,0.33857,0.10517,0.23844,0.013815,0.044655,2.6213e-4,0,-6.1238e-5,0.017627,0.017688,0,0.032836,0.1397,0.015328,87.616,1.8005,NaN,-6.8884,669.16,327.12,0.01,0.80068
7.8602,1.9806,311.69,-26.71,311.85,26.729,0.054439,0.0019545,0.054474,2.0562,10.127,1.0256,43.796,-120.65,9.7947,0.055654,0.049706,1.3062e-4,2.3463e-4,26.285,0,48.329,0.092906,2.7441,2.2873,3.2693,0.95372,56618827,0,445.28,0.68207,0.68208,0.33871,0.10512,0.23824,0.011723,0.037883,8.0354e-5,0,-6.1561e-5,0.017617,0.017678,8.0759e-8,0.032808,0.1397,0.015328,87.616,1.7794,NaN,-6.9087,668.89,327.11,0.01,0.80148
7.8702,1.9837,311.42,-26.674,311.59,26.692,0.05454,0.0019581,0.054575,2.0562,10.117,0.97026,43.796,-120.65,9.7947,0.045428,0.04961,2.3793e-4,2.3202e-4,26.285,0,48.329,0.092906,2.7444,2.2873,3.2716,0.95293,56554703,0,444.3,0.68197,0.68198,0.33886,0.10507,0.23805,0.0095632,0.031268,-3.3017e-4,0,-6.1712e-5,0.017606,0.017668,2.6842e-7,0.03278,0.1397,0.015328,87.615,1.7568,NaN,-6.9289,668.62,327.1,0.01,0.80225
7.8802,1.9868,311.16,-26.64,311.32,26.655,0.054641,0.0019617,0.054676,2.0562,10.108,0.91399,43.796,-120.65,9.7947,0.034949,0.049514,3.2428e-4,2.279e-4,26.285,0,48.329,0.092906,2.7447,2.2873,3.2739,0.95214,56490683,0,443.32,0.68187,0.68188,0.339,0.10502,0.23785,0.0073527,0.023575,-4.8343e-4,0,-6.1765e-5,0.017596,0.017658,4.995e-7,0.032752,0.1397,0.015328,87.615,1.7329,NaN,-6.9491,668.35,327.09,0.01,0.80308
7.8902,1.9899,310.89,-26.605,311.05,26.619,0.054742,0.0019654,0.054777,2.0562,10.099,0.85722,43.796,-120.65,9.7947,0.024305,0.049418,3.9079e-4,2.1825e-4,26.285,0,48.329,0.092906,2.745,2.2873,3.2764,0.95136,56426766,0,442.35,0.68178,0.68178,0.33915,0.10497,0.23766,0.0051101,0.016836,-2.4492e-4,0,-6.176e-5,0.017586,0.017647,7.2664e-7,0.032724,0.1397,0.015328,87.613,1.7079,NaN,-6.9694,668.08,327.08,0.01,0.80384
7.9002,1.993,310.62,-26.57,310.79,26.582,0.054843,0.001969,0.054878,2.0562,10.091,0.80196,43.796,-120.65,9.7947,0.013901,0.049322,4.4169e-4,1.94e-4,26.285,0,48.329,0.092906,2.7454,2.2873,3.2787,0.95057,56362966,0,441.38,0.68168,0.68168,0.3393,0.10492,0.23747,0.0029209,0.0091514,1.9339e-4,0,-6.1714e-5,0.017575,0.017637,9.2987e-7,0.032696,0.1397,0.015328,87.612,1.6822,NaN,-6.9896,667.81,327.06,0.01,0.80461
7.9102,1.9961,310.36,-26.533,310.52,26.546,0.054944,0.0019726,0.054979,2.0562,10.083,0.80942,43.796,-120.65,9.7947,0.015358,0.049227,4.5183e-4,2.3471e-4,26.285,0,48.329,0.092906,2.7452,2.2873,3.2778,0.9498,5.63e7,0,440.42,0.68158,0.68158,0.33944,0.10487,0.23727,0.0032268,0.010988,4.6565e-5,0,-6.1375e-5,0.017565,0.017626,9.7471e-7,0.032668,0.1397,0.015328,87.611,1.656,NaN,-7.0097,667.54,327.05,0.01,0.80537
7.9202,1.9992,310.09,-26.497,310.26,26.509,0.055045,0.0019763,0.05508,2.0562,10.075,0.81625,43.796,-120.65,9.7947,0.016803,0.049132,4.6612e-4,2.6936e-4,26.285,0,48.329,0.092906,2.7451,2.2873,3.277,0.94902,56236672,0,439.46,0.68149,0.68149,0.33958,0.10482,0.23708,0.0035301,0.011257,-4.917e-4,0,-6.1146e-5,0.017555,0.017616,1.0391e-6,0.03264,0.1397,0.015328,87.609,1.6294,NaN,-7.0299,667.27,327.04,0.01,0.80613
7.9302,2.0023,309.83,-26.46,309.99,26.473,0.055145,0.0019799,0.055181,2.0562,10.067,0.82243,43.796,-120.65,9.7947,0.018197,0.049038,4.8395e-4,2.9772e-4,26.285,0,48.329,0.092906,2.745,2.2873,3.2762,0.94825,56173675,0,438.51,0.68139,0.68139,0.33973,0.10477,0.23689,0.0038227,0.013022,-4.6201e-4,0,-6.0981e-5,0.017544,0.017605,1.122e-6,0.032612,0.1397,0.015328,87.608,1.6028,NaN,-7.05,667,327.03,0.01,0.80689
7.9402,2.0054,309.56,-26.423,309.73,26.436,0.055246,0.0019835,0.055281,2.0562,10.058,0.82791,43.796,-120.65,9.7947,0.01951,0.048944,5.0649e-4,3.2438e-4,26.285,0,48.329,0.092906,2.7449,2.2873,3.2754,0.94748,56110779,0,437.56,0.68129,0.68129,0.33987,0.10472,0.2367,0.0040983,0.013617,4.9359e-4,0,-6.0851e-5,0.017534,0.017595,1.2311e-6,0.032584,0.1397,0.015328,87.606,1.5762,NaN,-7.0702,666.73,327.01,0.01,0.80764
7.9502,2.0085,309.3,-26.387,309.46,26.4,0.055346,0.0019871,0.055382,2.0563,10.05,0.83309,43.796,-120.65,9.7947,0.020805,0.048851,5.3325e-4,3.4615e-4,26.285,0,48.329,0.092906,2.7448,2.2873,3.2746,0.94671,56047985,0,436.61,0.6812,0.6812,0.34001,0.10467,0.23651,0.0043699,0.01457,4.8862e-4,0,-6.074e-5,0.017524,0.017585,1.3669e-6,0.032556,0.1397,0.015328,87.604,1.5499,NaN,-7.0903,666.46,327,0.01,0.8084
7.9602,2.0116,309.04,-26.35,309.2,26.364,0.055447,0.0019908,0.055482,2.0563,10.042,0.85455,43.796,-120.65,9.7946,0.025282,0.048758,5.7401e-4,3.5623e-4,26.285,0,48.329,0.092906,2.7446,2.2873,3.2729,0.94594,55985430,0,435.67,0.6811,0.6811,0.34016,0.10462,0.23632,0.0053108,0.017123,-3.978e-4,0,-6.0565e-5,0.017514,0.017574,1.5866e-6,0.032529,0.1397,0.015328,87.602,1.5242,NaN,-7.1104,666.19,326.99,0.01,0.80916
7.9702,2.0147,308.77,-26.314,308.94,26.328,0.055547,0.0019944,0.055583,2.0563,10.033,0.87488,43.796,-120.65,9.7946,0.029549,0.048666,6.2477e-4,3.6292e-4,26.285,0,48.329,0.092906,2.7443,2.2873,3.2713,0.94517,55922973,0,434.73,0.68101,0.68101,0.3403,0.10457,0.23614,0.0062074,0.020781,3.21e-4,0,-6.0429e-5,0.017503,0.017564,1.8828e-6,0.032501,0.1397,0.015328,87.599,1.4991,NaN,-7.1305,665.92,326.98,0.01,0.80994
7.9802,2.0178,308.51,-26.277,308.67,26.292,0.055647,0.001998,0.055683,2.0563,10.024,0.89397,43.796,-120.65,9.7946,0.033574,0.048573,6.8538e-4,3.6751e-4,26.285,0,48.329,0.092906,2.7441,2.2873,3.2698,0.94441,55860616,0,433.79,0.68091,0.68092,0.34044,0.10453,0.23595,0.0070532,0.022654,-1.5775e-4,0,-6.0316e-5,0.017493,0.017553,2.2697e-6,0.032473,0.1397,0.015328,87.597,1.4749,NaN,-7.1505,665.65,326.97,0.01,0.81078
7.9902,2.0209,308.25,-26.241,308.41,26.257,0.055747,0.0020016,0.055783,2.0563,10.015,0.91169,43.796,-120.65,9.7946,0.037329,0.048482,7.5471e-4,3.7202e-4,26.285,0,48.329,0.092906,2.7439,2.2873,3.2684,0.94364,55798358,0,432.85,0.68082,0.68082,0.34058,0.10448,0.23576,0.0078424,0.025637,1.1648e-4,0,-6.0215e-5,0.017483,0.017543,2.7567e-6,0.032446,0.1397,0.015328,87.594,1.4517,NaN,-7.1706,665.39,326.95,0.01,0.8116
8.0002,2.0239,307.99,-26.205,308.15,26.221,0.055847,0.0020052,0.055883,2.0563,10.006,0.92658,43.796,-120.65,9.7946,0.040526,0.04839,8.3078e-4,3.756e-4,26.285,0,48.329,0.092906,2.7437,2.2873,3.2671,0.94288,55736187,0,431.92,0.68073,0.68073,0.34072,0.10443,0.23557,0.0085142,0.027683,-2.4104e-4,0,-6.013e-5,0.017473,0.017533,3.3461e-6,0.032418,0.1397,0.015328,87.591,1.4295,NaN,-7.1906,665.12,326.94,0.01,0.81237
8.0102,2.027,307.72,-26.171,307.89,26.186,0.055947,0.0020088,0.055983,2.0563,9.9968,0.88746,43.796,-120.65,9.7946,0.033248,0.048299,8.8131e-4,4.2609e-4,26.285,0,48.329,0.092906,2.744,2.2873,3.2686,0.94211,55673681,0,430.98,0.68063,0.68064,0.34087,0.10438,0.23538,0.0069819,0.02303,2.0857e-4,0,-6.0283e-5,0.017462,0.017522,3.7719e-6,0.032391,0.1397,0.015328,87.588,1.4087,NaN,-7.2106,664.85,326.93,0.01,0.81316
8.0202,2.0301,307.46,-26.137,307.62,26.15,0.056047,0.0020124,0.056083,2.0563,9.9881,0.84776,43.796,-120.65,9.7946,0.025976,0.048208,8.9806e-4,5.0666e-4,26.285,0,48.329,0.092906,2.7442,2.2873,3.2702,0.94134,55611274,0,430.05,0.68054,0.68054,0.34101,0.10433,0.2352,0.0054524,0.018074,-2.3619e-4,0,-6.0336e-5,0.017452,0.017512,3.9234e-6,0.032363,0.1397,0.015328,87.584,1.3892,NaN,-7.2306,664.58,326.92,0.01,0.81393
